#index	x1-position	x2-position	bottom_pos	top_position	width	width_calc
0	287.4907	2110.8294	2005	2214	209.3438	209
1	351.5406	2111.2021	2005	2214	209.4219	209
2	415.5561	2111.5868	2006	2214	208.3594	208
3	479.577	2111.9364	2007	2214	207.125	207
4	543.575	2112.3589	2008	2213	205.6875	205
5	607.6032	2112.7279	2008	2213	205.0625	205
6	671.6202	2112.8986	2009	2213	204.3594	204
7	735.6057	2113.2089	2010	2213	202.6562	203
8	799.6359	2113.4667	2011	2213	201.9531	202
9	863.6158	2113.657	2011	2212	201.3281	201
10	927.6236	2113.8909	2012	2212	200.75	200
11	991.6401	2114.192	2013	2212	199.625	199
12	1055.6295	2114.4297	2014	2212	198.5469	198
13	1119.6167	2114.546	2014	2212	197.4375	198
14	1183.6423	2114.549	2014	2211	196.9062	197
15	1247.6327	2114.6593	2015	2211	196.1562	196
16	1311.6127	2114.6508	2015	2211	195.625	196
17	1375.6138	2114.6102	2016	2210	193.5156	194
18	1439.6258	2114.796	2016	2210	193.6406	194
19	1503.6502	2114.8924	2017	2209	192.7031	192
20	1567.6304	2115.0289	2018	2209	191.0469	191
21	1631.6556	2115.1049	2018	2209	190.4219	191
22	1695.6431	2115.1535	2019	2208	189.6562	189
23	1759.6108	2115.1165	2019	2208	188.8594	189
24	1823.6332	2115.2226	2020	2207	187.7812	187
25	1887.6527	2115.263	2021	2207	185.6719	186
26	1951.6862	2115.3848	2021	2207	186.3594	186
27	2015.662	2115.492	2021	2206	185.1875	185
28	2079.6462	2115.637	2022	2206	184.8438	184
29	2143.6868	2115.7411	2022	2206	183.6094	184
30	2207.6607	2115.9794	2023	2205	182.0156	182
31	2271.6553	2116.1008	2024	2205	181.7969	181
32	2335.6887	2116.1006	2025	2205	180.2188	180
33	2399.6708	2116.2771	2025	2205	179.6875	180
34	2463.6644	2116.3435	2026	2204	178.7344	178
35	2527.7514	2116.6688	2026	2204	178.875	178
36	2591.6647	2116.8735	2027	2204	177.0469	177
37	2655.6848	2117.0459	2028	2203	175.9219	175
38	2719.7409	2117.1702	2028	2203	175.4844	175
39	2783.6669	2117.6124	2029	2203	173.7812	174
40	2847.7217	2117.8131	2030	2203	173.3594	173
41	2911.7538	2118.003	2031	2202	171.4062	171
42	2975.7702	2118.448	2031	2203	171.2969	172
43	3039.7539	2118.8554	2032	2202	170.5312	170
44	3103.6945	2119.3462	2033	2203	170.3125	170
45	3167.7164	2119.67	2034	2203	169.4062	169
46	3231.7371	2120.2995	2034	2203	168.7344	169
47	3295.6681	2120.5119	2036	2202	166.6562	166
48	3359.6939	2121.1434	2037	2203	166.0156	166
49	3423.8016	2121.4622	2037	2203	166.4375	166
50	3487.7161	2122.3663	2039	2204	164.9062	165
51	3551.8089	2123.0299	2040	2203	162.9375	163
52	3615.8664	2123.7289	2041	2203	162.2344	162
53	3679.9206	2124.5376	2043	2204	161.5938	161
54	3743.6966	2125.4447	2044	2205	160.9219	161
55	3807.7916	2125.8292	2044	2205	160.4062	161
